preparation,uuid,template_title,template_type,template_number,parent_wtno_i,wtno_i,mutation,mutator,status,mutation_time,created_by,created_date
 , ,CAAV-F586-SECTION5-B1-239.2,J,239.2, ,370'742,19'823,VJC2741,0,14984127,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-239.3,J,239.3, ,370'743,19'823,VJC2741,0,14984155,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-240,J,240, ,370'744,19'823,VJC2741,0,14984182,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-241.1,J,241.1, ,370'745,19'823,VJC2741,0,14984209,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-241.2,J,241.2, ,370'746,19'823,VJC2741,0,14984237,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-242,J,242, ,370'747,19'823,VJC2741,0,14984264,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-243,J,243, ,370'748,19'823,VJC2741,0,14984291,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-244,J,244, ,370'749,19'823,VJC2741,0,14984319,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-245.1,J,245.1, ,370'750,19'823,VJC2741,0,14984346,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-245.2,J,245.2, ,370'751,19'823,VJC2741,0,14984374,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-246,J,246, ,370'752,19'823,VJC2741,0,14984401,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-247,J,247, ,370'753,19'823,VJC2741,0,14984428,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-248,J,248, ,370'754,19'823,VJC2741,0,14984456,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-249.1,J,249.1, ,370'755,19'823,VJC2741,0,14984483,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-249.2,J,249.2, ,370'756,19'823,VJC2741,0,14984517,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-249.3,J,249.3, ,370'757,19'823,VJC2741,0,14984544,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-250.1,J,250.1, ,370'758,19'823,VJC2741,0,14984572,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-250.2,J,250.2, ,370'759,19'823,VJC2741,0,14984599,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-251.1,J,251.1, ,370'760,19'823,VJC2741,0,14984626,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-251.2,J,251.2, ,370'761,19'823,VJC2741,0,14984653,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-251.3,J,251.3, ,370'762,19'823,VJC2741,0,14984680,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-252,J,252, ,370'763,19'823,VJC2741,0,14984707,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-253,J,253, ,370'764,19'823,VJC2741,0,14984735,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-254,J,254, ,370'765,19'823,VJC2741,0,14984762,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-255,J,255, ,370'766,19'823,VJC2741,0,14984790,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-256,J,256, ,370'767,19'823,VJC2741,0,14984821,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-257,J,257, ,370'768,19'823,VJC2741,0,14984849,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-258,J,258, ,370'769,19'823,VJC2741,0,14984876,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-259,J,259, ,370'770,19'823,VJC2741,0,14984903,VJC2741,19'823
